Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Temp_SD,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbent,Sorbent_val,Sorbent_SD,Sorbent_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units
aotka82,aotka82_f2cb,1,quartz,SiO2,NA,NA,NA,Na(+1),0.010098464224927758,0.0005,mol/L,Cl(+7),0.009380749504479351,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.206254432986656,0.1,U(+6),2.166630716891313e-07,1.05e-08,mol/L,2.1003826183246272e-07,1.05e-08,mol/L,4.39e-09,1.05e-08,mol/L,NA,NA,NA,10.379838934394021,1.0,g/L,0.01987923701029781,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
aotka82,aotka82_f2cb,2,quartz,SiO2,NA,NA,NA,Na(+1),0.009966867939526433,0.0005,mol/L,Cl(+7),0.010529531860376076,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8711301882569455,0.1,U(+6),2.0623790635441426e-07,1.05e-08,mol/L,1.742548103372713e-07,1.05e-08,mol/L,3e-08,1.05e-08,mol/L,NA,NA,NA,8.879997443451208,1.0,g/L,0.02199282130915397,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
aotka82,aotka82_f2cb,3,quartz,SiO2,NA,NA,NA,Na(+1),0.009736080503743525,0.0005,mol/L,Cl(+7),0.009499684354720038,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.465420755737072,0.1,U(+6),2.1509294921111752e-07,1.05e-08,mol/L,9.604720723258027e-08,1.05e-08,mol/L,1.12e-07,1.05e-08,mol/L,NA,NA,NA,10.45697359924092,1.0,g/L,0.018966278362796535,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
aotka82,aotka82_f2cb,4,quartz,SiO2,NA,NA,NA,Na(+1),0.010098855623620367,0.0005,mol/L,Cl(+7),0.010082806494217294,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01919760389248,0.1,U(+6),2.071560756686494e-07,1.05e-08,mol/L,1.1616780538879877e-07,1.05e-08,mol/L,8.9e-08,1.05e-08,mol/L,NA,NA,NA,9.782487642057552,1.0,g/L,0.017887808443545032,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
aotka82,aotka82_f2cb,5,quartz,SiO2,NA,NA,NA,Na(+1),0.010476389800036769,0.0005,mol/L,Cl(+7),0.010119125850296043,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.912272749485474,0.1,U(+6),2.2143211589310944e-07,1.05e-08,mol/L,5.4820553215604446e-08,1.05e-08,mol/L,1.54e-07,1.05e-08,mol/L,NA,NA,NA,10.35940799272131,1.0,g/L,0.017387944675964946,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
aotka82,aotka82_f2cb,6,quartz,SiO2,NA,NA,NA,Na(+1),0.009637774271849297,0.0005,mol/L,Cl(+7),0.010477385204290061,0.0005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.793527148321669,0.1,U(+6),2.092445912578769e-07,1.05e-08,mol/L,8.582528808525871e-08,1.05e-08,mol/L,1.24e-07,1.05e-08,mol/L,NA,NA,NA,10.041154588399444,1.0,g/L,0.018123096836959087,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41e-05,bar
azbn00,azbn00_f1,1,quartz,SiO2,NA,NA,NA,Na(+1),0.10537720264165874,0.005,mol/L,Cl(+7),0.09951175560737482,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.572088066501272,0.1,U(+6),1.0458024133000578e-06,5e-08,mol/L,1.1236309594273289e-06,5e-08,mol/L,-6.02e-08,5e-08,mol/L,NA,NA,NA,13.36186866570273,1.2,g/L,0.14898351933487639,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,2,quartz,SiO2,NA,NA,NA,Na(+1),0.1009717549121254,0.005,mol/L,Cl(+7),0.10597967765147999,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.121532276245959,0.1,U(+6),9.225414638010427e-07,5e-08,mol/L,9.581327841789983e-07,5e-08,mol/L,-4.96e-08,5e-08,mol/L,NA,NA,NA,13.378438559049515,1.2,g/L,0.19740249335110374,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,3,quartz,SiO2,NA,NA,NA,Na(+1),0.09631926512806357,0.005,mol/L,Cl(+7),0.10085402349644067,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5797106477897245,0.1,U(+6),1.0035582123790075e-06,5e-08,mol/L,9.96554110268638e-07,5e-08,mol/L,1.32e-08,5e-08,mol/L,NA,NA,NA,12.087035042305391,1.2,g/L,0.18371958990100182,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
azbn00,azbn00_f1,4,quartz,SiO2,NA,NA,NA,Na(+1),0.0937582941944538,0.005,mol/L,Cl(+7),0.10527269637993765,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1044655870163735,0.1,U(+6),1.024443084738929e-06,5e-08,mol/L,9.249583892991391e-07,5e-08,mol/L,1.26e-07,5e-08,mol/L,NA,NA,NA,10.940702141972597,1.2,g/L,0.24123764960569738,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66e-05,bar
