Experiment,Mineral_source,Mineral,UO2CO3,mu,Uranyl_Complex,uranium_total,Site_Density
1,7,0,-14.621,0.0196937,-6.9194,-6.6777807052660805,-4.54327863489071
2,7,0,-11.417,0.0165179,-6.9146,-6.6777807052660805,-4.54327863489071
3,7,0,-7.8877,0.0164445,-8.3969,-6.6777807052660805,-4.54327863489071
4,7,0,-8.1447,0.0164481,-9.3649,-6.6777807052660805,-4.54327863489071
5,7,0,-9.0917,0.0164521,-11.483,-6.6777807052660805,-4.54327863489071
6,7,0,-9.8895,0.0164554,-12.993,-6.6777807052660805,-4.54327863489071
7,7,0,-11.482,0.106121,-6.4695,-6.0,-3.4765802871384253
8,7,0,-10.433,0.106006,-6.4792,-6.0,-3.4765802871384253
9,7,0,-9.3612,0.105971,-6.5145,-6.0,-3.4765802871384253
10,7,0,-8.6532,0.105963,-6.5815,-6.0,-3.4765802871384253
11,7,0,-7.9286,0.10596,-6.7684,-6.0,-3.4765802871384253
12,7,0,-7.5258,0.10596,-7.1661,-6.0,-3.4765802871384253
13,7,0,-7.4912,0.105963,-7.8712,-6.0,-3.4765802871384253
14,7,0,-7.7733,0.105966,-8.8744,-6.0,-3.4765802871384253
15,7,0,-8.0542,0.105968,-9.5647,-6.0,-3.4765802871384253
16,7,0,-8.4136,0.105969,-10.35,-6.0,-3.4765802871384253
17,7,0,-8.9441,0.10597,-11.43,-6.0,-3.4765802871384253
18,7,0,-9.916,0.105978,-13.233,-6.0,-3.4765802871384253
19,0,0,-11.502,0.106125,-6.4694,-6.0,-3.759881515841975
20,0,0,-10.465,0.106007,-6.4787,-6.0,-3.759881515841975
21,0,0,-9.363,0.105971,-6.5144,-6.0,-3.759881515841975
22,0,0,-8.6773,0.105963,-6.5781,-6.0,-3.759881515841975
23,0,0,-7.9365,0.10596,-6.7648,-6.0,-3.759881515841975
24,0,0,-7.5376,0.10596,-7.1371,-6.0,-3.759881515841975
25,0,0,-7.4893,0.105963,-7.8585,-6.0,-3.759881515841975
26,0,0,-7.7688,0.105966,-8.8623,-6.0,-3.759881515841975
27,0,0,-8.0488,0.105968,-9.5526,-6.0,-3.759881515841975
28,0,0,-8.3963,0.105969,-10.313,-6.0,-3.759881515841975
29,0,0,-8.9441,0.10597,-11.43,-6.0,-3.759881515841975
30,0,0,-9.9173,0.105978,-13.236,-6.0,-3.759881515841975
31,0,0,-11.52,0.106128,-6.4693,-6.0,-3.4588515201779937
32,0,0,-10.486,0.106009,-6.4784,-6.0,-3.4588515201779937
33,0,0,-9.3743,0.105971,-6.5138,-6.0,-3.4588515201779937
34,0,0,-8.6669,0.105963,-6.5796,-6.0,-3.4588515201779937
35,0,0,-7.9351,0.10596,-6.7654,-6.0,-3.4588515201779937
36,0,0,-7.5339,0.10596,-7.1458,-6.0,-3.4588515201779937
37,0,0,-7.4885,0.105963,-7.8531,-6.0,-3.4588515201779937
38,0,0,-7.7532,0.105966,-8.8199,-6.0,-3.4588515201779937
39,0,0,-8.0259,0.105968,-9.4997,-6.0,-3.4588515201779937
40,0,0,-8.3896,0.105969,-10.299,-6.0,-3.4588515201779937
41,0,0,-8.9256,0.10597,-11.393,-6.0,-3.4588515201779937
42,0,0,-9.8882,0.105978,-13.186,-6.0,-3.4588515201779937
43,0,0,-10.743,0.105997,-14.504,-6.0,-3.4588515201779937
44,6,0,-12.694,0.0169848,-6.606,-6.376750709602099,-2.856791528850031
45,6,0,-10.28,0.0164713,-6.63,-6.376750709602099,-2.856791528850031
46,6,0,-8.8457,0.0164446,-6.7564,-6.376750709602099,-2.856791528850031
47,6,0,-8.6793,0.0164436,-6.791,-6.376750709602099,-2.856791528850031
48,6,0,-8.1223,0.0164417,-6.9838,-6.376750709602099,-2.856791528850031
49,6,0,-7.6461,0.0164427,-7.5047,-6.376750709602099,-2.856791528850031
50,6,0,-7.8955,0.0164497,-9.1272,-6.376750709602099,-2.856791528850031
51,6,0,-8.3771,0.016453,-10.288,-6.376750709602099,-2.856791528850031
52,6,0,-9.558,0.0164575,-12.657,-6.376750709602099,-2.856791528850031
53,6,0,-10.013,0.0164618,-13.468,-6.376750709602099,-2.856791528850031
54,1,0,-11.589,0.00918111,-6.1769,-6.0,-2.3382775889721437
55,1,0,-11.523,0.00916461,-6.1771,-6.0,-2.3382775889721437
56,1,0,-10.329,0.00900851,-6.1904,-6.0,-2.3382775889721437
57,1,0,-10.076,0.00899526,-6.1969,-6.0,-2.3382775889721437
58,1,0,-9.5116,0.0089766,-6.2211,-6.0,-2.3382775889721437
59,1,0,-9.1683,0.00896998,-6.2463,-6.0,-2.3382775889721437
60,1,0,-8.8147,0.00896543,-6.2861,-6.0,-2.3382775889721437
61,1,0,-8.5346,0.00896295,-6.3329,-6.0,-2.3382775889721437
62,1,0,-8.2918,0.0089614,-6.3899,-6.0,-2.3382775889721437
63,1,0,-7.8524,0.00895966,-6.5657,-6.0,-2.3382775889721437
64,1,0,-7.5091,0.00895937,-6.929,-6.0,-2.3382775889721437
65,1,0,-7.4108,0.00896146,-7.6871,-6.0,-2.3382775889721437
66,1,0,-11.881,0.0117655,-6.1949,-6.0,-2.3382775889721437
67,1,0,-11.377,0.0116295,-6.1965,-6.0,-2.3382775889721437
68,1,0,-11.152,0.0115902,-6.198,-6.0,-2.3382775889721437
69,1,0,-10.309,0.0115078,-6.2099,-6.0,-2.3382775889721437
70,1,0,-9.867,0.011488,-6.2232,-6.0,-2.3382775889721437
71,1,0,-9.3449,0.0114745,-6.2515,-6.0,-2.3382775889721437
72,1,0,-9.3208,0.011474,-6.2533,-6.0,-2.3382775889721437
73,1,0,-8.7802,0.0114667,-6.311,-6.0,-2.3382775889721437
74,1,0,-8.5766,0.011465,-6.3451,-6.0,-2.3382775889721437
75,1,0,-8.4153,0.0114638,-6.3793,-6.0,-2.3382775889721437
76,1,0,-8.1089,0.0114623,-6.4698,-6.0,-2.3382775889721437
77,1,0,-7.7078,0.0114612,-6.6961,-6.0,-2.3382775889721437
78,1,0,-7.4497,0.0114616,-7.1611,-6.0,-2.3382775889721437
79,1,0,-7.4185,0.011463,-7.6205,-6.0,-2.3382775889721437
80,1,0,-7.7347,0.0114682,-8.9461,-6.0,-2.3382775889721437
81,1,0,-11.976,0.0569482,-6.3603,-6.0,-2.3382775889721437
82,1,0,-10.662,0.056769,-6.3721,-6.0,-2.3382775889721437
83,1,0,-10.08,0.0567448,-6.3871,-6.0,-2.3382775889721437
84,1,0,-9.8288,0.0567385,-6.3976,-6.0,-2.3382775889721437
85,1,0,-9.3791,0.056731,-6.4264,-6.0,-2.3382775889721437
86,1,0,-9.1396,0.0567284,-6.4496,-6.0,-2.3382775889721437
87,1,0,-8.8235,0.0567258,-6.493,-6.0,-2.3382775889721437
88,1,0,-8.5964,0.0567245,-6.5372,-6.0,-2.3382775889721437
89,1,0,-8.1889,0.056723,-6.6631,-6.0,-2.3382775889721437
90,1,0,-7.7868,0.0567223,-6.9519,-6.0,-2.3382775889721437
91,1,0,-7.5861,0.0567234,-7.5678,-6.0,-2.3382775889721437
92,1,0,-11.998,0.0569542,-6.3603,-6.0,-2.3382775889721437
93,1,0,-10.709,0.0567718,-6.3713,-6.0,-2.3382775889721437
94,1,0,-10.089,0.0567451,-6.3868,-6.0,-2.3382775889721437
95,1,0,-9.8421,0.0567388,-6.3969,-6.0,-2.3382775889721437
96,1,0,-9.4344,0.0567317,-6.422,-6.0,-2.3382775889721437
97,1,0,-9.1647,0.0567286,-6.4468,-6.0,-2.3382775889721437
98,1,0,-8.8542,0.056726,-6.488,-6.0,-2.3382775889721437
99,1,0,-8.6566,0.0567248,-6.5242,-6.0,-2.3382775889721437
100,1,0,-8.2307,0.0567231,-6.6461,-6.0,-2.3382775889721437
101,1,0,-7.8279,0.0567223,-6.9032,-6.0,-2.3382775889721437
102,1,0,-7.593,0.0567231,-7.4874,-6.0,-2.3382775889721437
103,1,0,-7.7861,0.0567281,-8.8217,-6.0,-2.3382775889721437
104,1,0,-8.3894,0.0567329,-10.362,-6.0,-2.3382775889721437
105,1,0,-8.8377,0.0567345,-11.308,-6.0,-2.3382775889721437
106,1,0,-9.2833,0.0567365,-12.189,-6.0,-2.3382775889721437
107,1,0,-9.6314,0.0567393,-12.84,-6.0,-2.3382775889721437
108,1,0,-9.9084,0.056743,-13.328,-6.0,-2.3382775889721437
109,1,0,-10.19,0.0567482,-13.793,-6.0,-2.3382775889721437
110,1,0,-10.448,0.0567544,-14.191,-6.0,-2.3382775889721437
111,1,0,-11.956,0.056943,-6.3604,-6.0,-2.3382775889721437
112,1,0,-10.658,0.0567688,-6.3721,-6.0,-2.3382775889721437
113,1,0,-10.053,0.0567441,-6.3881,-6.0,-2.3382775889721437
114,1,0,-9.8155,0.0567383,-6.3982,-6.0,-2.3382775889721437
115,1,0,-9.3865,0.0567311,-6.4258,-6.0,-2.3382775889721437
116,1,0,-9.1432,0.0567284,-6.4492,-6.0,-2.3382775889721437
117,1,0,-8.8252,0.0567258,-6.4928,-6.0,-2.3382775889721437
118,1,0,-8.5884,0.0567245,-6.539,-6.0,-2.3382775889721437
119,1,0,-8.2,0.056723,-6.6585,-6.0,-2.3382775889721437
120,1,0,-7.7802,0.0567223,-6.9606,-6.0,-2.3382775889721437
121,1,0,-7.5855,0.0567234,-7.5779,-6.0,-2.3382775889721437
122,1,0,-11.31,0.0568247,-6.364,-6.0,-2.3382775889721437
123,1,0,-10.601,0.0567657,-6.3732,-6.0,-2.3382775889721437
124,1,0,-10.109,0.0567457,-6.3861,-6.0,-2.3382775889721437
125,1,0,-9.1182,0.0567282,-6.452,-6.0,-2.3382775889721437
126,1,0,-9.0067,0.0567272,-6.4658,-6.0,-2.3382775889721437
127,1,0,-8.6272,0.0567247,-6.5304,-6.0,-2.3382775889721437
128,1,0,-8.3155,0.0567234,-6.6151,-6.0,-2.3382775889721437
129,1,0,-7.9371,0.0567224,-6.8045,-6.0,-2.3382775889721437
130,1,0,-7.7199,0.0567224,-7.0538,-6.0,-2.3382775889721437
131,1,0,-7.6092,0.0567229,-7.3771,-6.0,-2.3382775889721437
132,1,0,-7.6148,0.0567228,-7.3482,-6.0,-2.3382775889721437
133,1,0,-7.5825,0.0567239,-7.7326,-6.0,-2.3382775889721437
134,1,0,-12.298,0.0572187,-8.7673,-6.0,-2.3382775889721437
135,1,0,-11.128,0.0572208,-8.7955,-6.0,-2.3382775889721437
136,1,0,-11.006,0.057221,-8.7969,-6.0,-2.3382775889721437
137,1,0,-10.408,0.0572217,-8.8018,-6.0,-2.3382775889721437
138,1,0,-9.9181,0.0572224,-8.8052,-6.0,-2.3382775889721437
139,1,0,-9.5285,0.0572231,-8.8086,-6.0,-2.3382775889721437
140,1,0,-9.4836,0.0572231,-8.8091,-6.0,-2.3382775889721437
