         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	    la_UO2+2	   la_UO2CO3	
           2	      i_soln	           0	         -99	         -99	         -99	       2.206	           4	   0.0129228	 -6.8598e+00	 -1.0000e+03	
           2	       react	           0	         -99	           0	           1	       2.206	     17.9363	    0.019299	 -6.8969e+00	 -1.4627e+01	
           3	      i_soln	           1	         -99	         -99	         -99	       3.871	           4	    0.010565	 -6.8784e+00	 -1.0000e+03	
           3	       react	           1	         -99	           0	           1	       3.871	     15.9397	   0.0170076	 -6.9190e+00	 -1.1319e+01	
           4	      i_soln	           2	         -99	         -99	         -99	       6.465	           4	  0.00949264	 -8.2043e+00	 -1.0000e+03	
           4	       react	           2	         -99	           0	           1	       6.465	     12.8272	   0.0159462	 -8.4097e+00	 -7.8770e+00	
           5	      i_soln	           3	         -99	         -99	         -99	       7.019	           4	  0.00999177	 -9.0621e+00	 -1.0000e+03	
           5	       react	           3	         -99	           0	           1	       7.019	     12.1622	   0.0164486	 -9.5043e+00	 -8.1963e+00	
           6	      i_soln	           4	         -99	         -99	         -99	       7.912	           4	  0.00999211	 -1.0674e+01	 -1.0000e+03	
           6	       react	           4	         -99	           0	           1	       7.912	     11.0906	   0.0164519	 -1.1311e+01	 -9.0010e+00	
           7	      i_soln	           5	         -99	         -99	         -99	       8.794	           4	  0.00999503	 -1.2931e+01	 -1.0000e+03	
           7	       react	           5	         -99	           0	           1	       8.794	     10.0322	   0.0164563	 -1.3207e+01	 -1.0012e+01	
           8	      i_soln	           6	         -99	         -99	         -99	       3.572	           4	    0.102201	 -6.4427e+00	 -1.0000e+03	
           8	       react	           6	         -99	           0	           1	       3.572	     16.2879	    0.108593	 -6.4517e+00	 -1.1415e+01	
           9	      i_soln	           7	         -99	         -99	         -99	       4.122	           4	    0.103086	 -6.5137e+00	 -1.0000e+03	
           9	       react	           7	         -99	           0	           1	       4.122	     15.6279	    0.109477	 -6.5224e+00	 -1.0387e+01	
          10	      i_soln	           8	         -99	         -99	         -99	        4.58	           4	   0.0980909	 -6.4986e+00	 -1.0000e+03	
          10	       react	           8	         -99	           0	           1	        4.58	     15.0786	    0.104486	 -6.5074e+00	 -9.4594e+00	
          11	      i_soln	           9	         -99	         -99	         -99	       5.104	           4	   0.0990791	 -6.5858e+00	 -1.0000e+03	
          11	       react	           9	         -99	           0	           1	       5.104	     14.4497	    0.105472	 -6.5945e+00	 -8.5110e+00	
          12	      i_soln	          10	         -99	         -99	         -99	       5.539	           4	   0.0985721	 -6.8108e+00	 -1.0000e+03	
          12	       react	          10	         -99	           0	           1	       5.539	     13.9278	    0.104969	 -6.8242e+00	 -7.9007e+00	
          13	      i_soln	          11	         -99	         -99	         -99	       5.959	           4	    0.108494	 -7.1364e+00	 -1.0000e+03	
          13	       react	          11	         -99	           0	           1	       5.959	     13.4232	    0.114893	 -7.1827e+00	 -7.4911e+00	
          14	      i_soln	          12	         -99	         -99	         -99	       6.504	           4	     0.10156	 -7.9370e+00	 -1.0000e+03	
          14	       react	          12	         -99	           0	           1	       6.504	     12.7696	    0.107958	 -8.1242e+00	 -7.5472e+00	
          15	      i_soln	          13	         -99	         -99	         -99	       6.784	           4	   0.0980678	 -8.3613e+00	 -1.0000e+03	
          15	       react	          13	         -99	           0	           1	       6.784	     12.4338	    0.104476	 -8.6467e+00	 -7.6812e+00	
          16	      i_soln	          14	         -99	         -99	         -99	       7.219	           4	   0.0975781	 -9.0906e+00	 -1.0000e+03	
          16	       react	          14	         -99	           0	           1	       7.219	     11.9118	    0.103985	 -9.5402e+00	 -8.0384e+00	
          17	      i_soln	          15	         -99	         -99	         -99	       7.586	           4	    0.100053	 -9.7340e+00	 -1.0000e+03	
          17	       react	          15	         -99	           0	           1	       7.586	     11.4713	    0.106464	 -1.0303e+01	 -8.3978e+00	
          18	      i_soln	          16	         -99	         -99	         -99	       8.198	           4	   0.0940975	 -1.0855e+01	 -1.0000e+03	
          18	       react	          16	         -99	           0	           1	       8.198	     10.7372	     0.10051	 -1.1508e+01	 -8.9689e+00	
          19	      i_soln	          17	         -99	         -99	         -99	       8.962	           4	   0.0931191	 -1.2805e+01	 -1.0000e+03	
          19	       react	          17	         -99	           0	           1	       8.962	     9.82048	   0.0995303	 -1.3147e+01	 -9.8593e+00	
          20	      i_soln	          18	         -99	         -99	         -99	       3.552	           4	    0.105187	 -6.4639e+00	 -1.0000e+03	
          20	       react	          18	         -99	           0	           1	       3.552	     16.3117	    0.111578	 -6.4727e+00	 -1.1475e+01	
          21	      i_soln	          19	         -99	         -99	         -99	       3.954	           4	      0.1036	 -6.4641e+00	 -1.0000e+03	
          21	       react	          19	         -99	           0	           1	       3.954	     15.8294	    0.109992	 -6.4730e+00	 -1.0673e+01	
          22	      i_soln	          20	         -99	         -99	         -99	       4.789	           4	    0.095597	 -6.5205e+00	 -1.0000e+03	
          22	       react	          20	         -99	           0	           1	       4.789	     14.8279	    0.101996	 -6.5294e+00	 -9.0668e+00	
          23	      i_soln	          21	         -99	         -99	         -99	       5.175	           4	     0.10453	 -6.6072e+00	 -1.0000e+03	
          23	       react	          21	         -99	           0	           1	       5.175	     14.3642	    0.110932	 -6.6158e+00	 -8.3938e+00	
          24	      i_soln	          22	         -99	         -99	         -99	       5.484	           4	    0.100552	 -6.7267e+00	 -1.0000e+03	
          24	       react	          22	         -99	           0	           1	       5.484	     13.9936	    0.106953	 -6.7386e+00	 -7.9200e+00	
          25	      i_soln	          23	         -99	         -99	         -99	        6.01	           4	   0.0965792	 -7.2188e+00	 -1.0000e+03	
          25	       react	          23	         -99	           0	           1	        6.01	     13.3627	    0.102982	 -7.2741e+00	 -7.4917e+00	
          26	      i_soln	          24	         -99	         -99	         -99	       6.519	           4	   0.0970747	 -7.9477e+00	 -1.0000e+03	
          26	       react	          24	         -99	           0	           1	       6.519	     12.7518	    0.103481	 -8.1378e+00	 -7.5397e+00	
          27	      i_soln	          25	         -99	         -99	         -99	        6.75	           4	   0.0990617	 -8.3238e+00	 -1.0000e+03	
          27	       react	          25	         -99	           0	           1	        6.75	     12.4745	    0.105468	 -8.6012e+00	 -7.6800e+00	
          28	      i_soln	          26	         -99	         -99	         -99	       7.231	           4	    0.101543	 -9.1146e+00	 -1.0000e+03	
          28	       react	          26	         -99	           0	           1	       7.231	     11.8972	    0.107952	 -9.5679e+00	 -8.0559e+00	
