Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Temp_SD,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbent,Sorbent_val,Sorbent_SD,Sorbent_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units
aotka82,aotka82_f2cb,1,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,0.1,U(+6),2.10E-07,1.05E-08,mol/L,2.06E-07,1.05E-08,mol/L,4.39E-09,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
aotka82,aotka82_f2cb,2,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,0.1,U(+6),2.10E-07,1.05E-08,mol/L,1.80E-07,1.05E-08,mol/L,3.00E-08,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
aotka82,aotka82_f2cb,3,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,0.1,U(+6),2.10E-07,1.05E-08,mol/L,9.81E-08,1.05E-08,mol/L,1.12E-07,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
aotka82,aotka82_f2cb,4,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,0.1,U(+6),2.10E-07,1.05E-08,mol/L,1.21E-07,1.05E-08,mol/L,8.90E-08,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
aotka82,aotka82_f2cb,5,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,0.1,U(+6),2.10E-07,1.05E-08,mol/L,5.57E-08,1.05E-08,mol/L,1.54E-07,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
aotka82,aotka82_f2cb,6,quartz,SiO2,NA,NA,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(+7),0.01,5.00E-04,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,0.1,U(+6),2.10E-07,1.05E-08,mol/L,8.63E-08,1.05E-08,mol/L,1.24E-07,1.05E-08,mol/L,NA,NA,NA,10,1,g/L,0.0205832,0.00205832,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003406,3.41E-05,bar
azbn00,azbn00_f1,1,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5471,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.06E-06,5.00E-08,mol/L,-6.02E-08,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,2,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0765,0.1,U(+6),1.00E-06,5.00E-08,mol/L,1.05E-06,5.00E-08,mol/L,-4.96E-08,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,3,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6333,0.1,U(+6),1.00E-06,5.00E-08,mol/L,9.87E-07,5.00E-08,mol/L,1.32E-08,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
azbn00,azbn00_f1,4,quartz,SiO2,NA,NA,NA,Na(+1),0.1,0.005,mol/L,Cl(+7),0.1,0.005,mol/L,C(+4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0254,0.1,U(+6),1.00E-06,5.00E-08,mol/L,8.74E-07,5.00E-08,mol/L,1.26E-07,5.00E-08,mol/L,NA,NA,NA,12,1.2,g/L,0.2,0.02,m2/g,2.31,0.231,sites/nm2,NA,NA,NA,N2(g),0.8,0.08,bar,O2(g),0.2,0.02,bar,CO2(g),0.0003659,3.66E-05,bar
